i,sparsity,hash_time,avl_time,trad_time
2,0.01,0.004735727998195216,0.04819048100034706,0.00015358100063167512
2,0.05,0.008956584999396,0.06259992500054068,0.0001715299986244645
2,0.1,0.012967918999493122,0.0697617990008439,0.00015497800268349238
2,0.2,0.024867545998858986,0.07461471900023753,0.00015365099898190238
